filename,timestep,epochs,batchsize,learningrate,activationfunction,model_accuracy,errorvalues,species
s10tsep10bs128lr0.0001af1,10,10,128,0.0001,1,81,2446,ten
s10tsep10bs128lr0.0001af2,10,10,128,0.0001,2,56,3768,ten
s10tsep10bs128lr0.0001af3,10,10,128,0.0001,3,81,2544,ten
s10tsep10bs128lr0.001af1,10,10,128,0.001,1,57,3701,ten
s10tsep10bs128lr0.001af2,10,10,128,0.001,2,56,3675,ten
s10tsep10bs128lr0.001af3,10,10,128,0.001,3,56,3735,ten
s10tsep10bs128lr0.01af1,10,10,128,0.01,1,0,4733,ten
s10tsep10bs128lr0.01af2,10,10,128,0.01,2,0,4733,ten
s10tsep10bs128lr0.01af3,10,10,128,0.01,3,1,4735,ten
s10tsep10bs256lr0.0001af1,10,10,256,0.0001,1,81,2468,ten
s10tsep10bs256lr0.0001af2,10,10,256,0.0001,2,56,3778,ten
s10tsep10bs256lr0.0001af3,10,10,256,0.0001,3,77,2842,ten
s10tsep10bs256lr0.001af1,10,10,256,0.001,1,56,3725,ten
s10tsep10bs256lr0.001af2,10,10,256,0.001,2,56,3729,ten
s10tsep10bs256lr0.001af3,10,10,256,0.001,3,56,3710,ten
s10tsep10bs256lr0.01af1,10,10,256,0.01,1,0,4733,ten
s10tsep10bs256lr0.01af2,10,10,256,0.01,2,0,4733,ten
s10tsep10bs256lr0.01af3,10,10,256,0.01,3,0,4739,ten
s10tsep20bs128lr0.0001af1,10,20,128,0.0001,1,81,2422,ten
s10tsep20bs128lr0.0001af2,10,20,128,0.0001,2,57,3739,ten
s10tsep20bs128lr0.0001af3,10,20,128,0.0001,3,99,486,ten
s10tsep20bs128lr0.001af1,10,20,128,0.001,1,56,3696,ten
s10tsep20bs128lr0.001af2,10,20,128,0.001,2,56,3729,ten
s10tsep20bs128lr0.001af3,10,20,128,0.001,3,56,3731,ten
s10tsep20bs128lr0.01af1,10,20,128,0.01,1,0,4733,ten
s10tsep20bs128lr0.01af2,10,20,128,0.01,2,0,4733,ten
s10tsep20bs128lr0.01af3,10,20,128,0.01,3,1,4733,ten
s10tsep20bs256lr0.0001af1,10,20,256,0.0001,1,81,2295,ten
s10tsep20bs256lr0.0001af2,10,20,256,0.0001,2,56,3731,ten
s10tsep20bs256lr0.0001af3,10,20,256,0.0001,3,81,2449,ten
s10tsep20bs256lr0.001af1,10,20,256,0.001,1,57,3700,ten
s10tsep20bs256lr0.001af2,10,20,256,0.001,2,57,3767,ten
s10tsep20bs256lr0.001af3,10,20,256,0.001,3,57,3691,ten
s10tsep20bs256lr0.01af1,10,20,256,0.01,1,0,4733,ten
s10tsep20bs256lr0.01af2,10,20,256,0.01,2,0,4734,ten
s10tsep20bs256lr0.01af3,10,20,256,0.01,3,1,4736,ten
s10tsep40bs128lr0.0001af1,10,40,128,0.0001,1,100,307,ten
s10tsep40bs128lr0.0001af2,10,40,128,0.0001,2,68,3212,ten
s10tsep40bs128lr0.0001af3,10,40,128,0.0001,3,100,293,ten
s10tsep40bs128lr0.001af1,10,40,128,0.001,1,57,3701,ten
s10tsep40bs128lr0.001af2,10,40,128,0.001,2,56,3743,ten
s10tsep40bs128lr0.001af3,10,40,128,0.001,3,56,3703,ten
s10tsep40bs128lr0.01af1,10,40,128,0.01,1,0,4734,ten
s10tsep40bs128lr0.01af2,10,40,128,0.01,2,0,4733,ten
s10tsep40bs128lr0.01af3,10,40,128,0.01,3,7,4738,ten
s10tsep40bs256lr0.0001af1,10,40,256,0.0001,1,81,2387,ten
s10tsep40bs256lr0.0001af2,10,40,256,0.0001,2,56,3799,ten
s10tsep40bs256lr0.0001af3,10,40,256,0.0001,3,100,323,ten
s10tsep40bs256lr0.001af1,10,40,256,0.001,1,56,3736,ten
s10tsep40bs256lr0.001af2,10,40,256,0.001,2,56,3747,ten
s10tsep40bs256lr0.001af3,10,40,256,0.001,3,100,282,ten
s10tsep40bs256lr0.01af1,10,40,256,0.01,1,0,4733,ten
s10tsep40bs256lr0.01af2,10,40,256,0.01,2,0,4734,ten
s10tsep40bs256lr0.01af3,10,40,256,0.01,3,0,4732,ten
s10tsep80bs128lr0.0001af1,10,80,128,0.0001,1,81,2393,ten
s10tsep80bs128lr0.0001af2,10,80,128,0.0001,2,56,3698,ten
s10tsep80bs128lr0.0001af3,10,80,128,0.0001,3,100,302,ten
s10tsep80bs128lr0.001af1,10,80,128,0.001,1,81,2433,ten
s10tsep80bs128lr0.001af2,10,80,128,0.001,2,81,2355,ten
s10tsep80bs128lr0.001af3,10,80,128,0.001,3,0,4734,ten
s10tsep80bs128lr0.01af1,10,80,128,0.01,1,0,4734,ten
s10tsep80bs128lr0.01af2,10,80,128,0.01,2,0,4733,ten
s10tsep80bs128lr0.01af3,10,80,128,0.01,3,0,4734,ten
s10tsep80bs256lr0.0001af1,10,80,256,0.0001,1,81,2378,ten
s10tsep80bs256lr0.0001af2,10,80,256,0.0001,2,57,3783,ten
s10tsep80bs256lr0.0001af3,10,80,256,0.0001,3,100,339,ten
s10tsep80bs256lr0.001af1,10,80,256,0.001,1,81,2470,ten
s10tsep80bs256lr0.001af2,10,80,256,0.001,2,56,3734,ten
s10tsep80bs256lr0.001af3,10,80,256,0.001,3,57,3776,ten
s10tsep80bs256lr0.01af1,10,80,256,0.01,1,0,4733,ten
s10tsep80bs256lr0.01af2,10,80,256,0.01,2,0,4733,ten
s10tsep80bs256lr0.01af3,10,80,256,0.01,3,0,4734,ten
s20tsep10bs128lr0.0001af1,20,10,128,0.0001,1,100,271,twenty
s20tsep10bs128lr0.0001af2,20,10,128,0.0001,2,80,2499,twenty
s20tsep10bs128lr0.0001af3,20,10,128,0.0001,3,100,462,twenty
s20tsep10bs128lr0.001af1,20,10,128,0.001,1,81,2427,twenty
s20tsep10bs128lr0.001af2,20,10,128,0.001,2,82,2412,twenty
s20tsep10bs128lr0.001af3,20,10,128,0.001,3,100,319,twenty
s20tsep10bs128lr0.01af1,20,10,128,0.01,1,0,4743,twenty
s20tsep10bs128lr0.01af2,20,10,128,0.01,2,0,4742,twenty
s20tsep10bs128lr0.01af3,20,10,128,0.01,3,0,4739,twenty
s20tsep10bs256lr0.0001af1,20,10,256,0.0001,1,100,464,twenty
s20tsep10bs256lr0.0001af2,20,10,256,0.0001,2,56,3746,twenty
s20tsep10bs256lr0.0001af3,20,10,256,0.0001,3,81,2389,twenty
s20tsep10bs256lr0.001af1,20,10,256,0.001,1,100,305,twenty
s20tsep10bs256lr0.001af2,20,10,256,0.001,2,82,2299,twenty
s20tsep10bs256lr0.001af3,20,10,256,0.001,3,81,2357,twenty
s20tsep10bs256lr0.01af1,20,10,256,0.01,1,0,4742,twenty
s20tsep10bs256lr0.01af2,20,10,256,0.01,2,0,4743,twenty
s20tsep10bs256lr0.01af3,20,10,256,0.01,3,0,4740,twenty
s20tsep20bs128lr0.0001af1,20,20,128,0.0001,1,100,259,twenty
s20tsep20bs128lr0.0001af2,20,20,128,0.0001,2,81,2425,twenty
s20tsep20bs128lr0.0001af3,20,20,128,0.0001,3,100,346,twenty
s20tsep20bs128lr0.001af1,20,20,128,0.001,1,100,293,twenty
s20tsep20bs128lr0.001af2,20,20,128,0.001,2,82,2403,twenty
s20tsep20bs128lr0.001af3,20,20,128,0.001,3,56,3689,twenty
s20tsep20bs128lr0.01af1,20,20,128,0.01,1,0,4743,twenty
s20tsep20bs128lr0.01af2,20,20,128,0.01,2,0,4744,twenty
s20tsep20bs128lr0.01af3,20,20,128,0.01,3,0,4740,twenty
s20tsep20bs256lr0.0001af1,20,20,256,0.0001,1,100,279,twenty
s20tsep20bs256lr0.0001af2,20,20,256,0.0001,2,81,2486,twenty
s20tsep20bs256lr0.0001af3,20,20,256,0.0001,3,99,444,twenty
s20tsep20bs256lr0.001af1,20,20,256,0.001,1,100,317,twenty
s20tsep20bs256lr0.001af2,20,20,256,0.001,2,56,3680,twenty
s20tsep20bs256lr0.001af3,20,20,256,0.001,3,100,277,twenty
s20tsep20bs256lr0.01af1,20,20,256,0.01,1,0,4742,twenty
s20tsep20bs256lr0.01af2,20,20,256,0.01,2,0,4743,twenty
s20tsep20bs256lr0.01af3,20,20,256,0.01,3,0,4751,twenty
s20tsep40bs128lr0.0001af1,20,40,128,0.0001,1,100,251,twenty
s20tsep40bs128lr0.0001af2,20,40,128,0.0001,2,91,1738,twenty
s20tsep40bs128lr0.0001af3,20,40,128,0.0001,3,100,270,twenty
s20tsep40bs128lr0.001af1,20,40,128,0.001,1,100,283,twenty
s20tsep40bs128lr0.001af2,20,40,128,0.001,2,81,2438,twenty
s20tsep40bs128lr0.001af3,20,40,128,0.001,3,100,246,twenty
s20tsep40bs128lr0.01af1,20,40,128,0.01,1,0,4744,twenty
s20tsep40bs128lr0.01af2,20,40,128,0.01,2,0,4743,twenty
s20tsep40bs128lr0.01af3,20,40,128,0.01,3,14,4727,twenty
s20tsep40bs256lr0.0001af1,20,40,256,0.0001,1,100,252,twenty
s20tsep40bs256lr0.0001af2,20,40,256,0.0001,2,81,2412,twenty
s20tsep40bs256lr0.0001af3,20,40,256,0.0001,3,100,337,twenty
s20tsep40bs256lr0.001af1,20,40,256,0.001,1,100,272,twenty
s20tsep40bs256lr0.001af2,20,40,256,0.001,2,82,2374,twenty
s20tsep40bs256lr0.001af3,20,40,256,0.001,3,100,245,twenty
s20tsep40bs256lr0.01af1,20,40,256,0.01,1,0,4743,twenty
s20tsep40bs256lr0.01af2,20,40,256,0.01,2,0,4743,twenty
s20tsep40bs256lr0.01af3,20,40,256,0.01,3,0,4742,twenty
s20tsep80bs128lr0.0001af1,20,80,128,0.0001,1,100,240,twenty
s20tsep80bs128lr0.0001af2,20,80,128,0.0001,2,81,2394,twenty
s20tsep80bs128lr0.0001af3,20,80,128,0.0001,3,100,255,twenty
s20tsep80bs128lr0.001af1,20,80,128,0.001,1,82,2397,twenty
s20tsep80bs128lr0.001af2,20,80,128,0.001,2,81,2360,twenty
s20tsep80bs128lr0.001af3,20,80,128,0.001,3,100,244,twenty
s20tsep80bs128lr0.01af1,20,80,128,0.01,1,0,4743,twenty
s20tsep80bs128lr0.01af2,20,80,128,0.01,2,0,4743,twenty
s20tsep80bs128lr0.01af3,20,80,128,0.01,3,0,4743,twenty
s20tsep80bs256lr0.0001af1,20,80,256,0.0001,1,100,251,twenty
s20tsep80bs256lr0.0001af2,20,80,256,0.0001,2,81,2450,twenty
s20tsep80bs256lr0.0001af3,20,80,256,0.0001,3,100,328,twenty
s20tsep80bs256lr0.001af1,20,80,256,0.001,1,100,269,twenty
s20tsep80bs256lr0.001af2,20,80,256,0.001,2,81,2386,twenty
s20tsep80bs256lr0.001af3,20,80,256,0.001,3,100,244,twenty
s20tsep80bs256lr0.01af1,20,80,256,0.01,1,0,4743,twenty
s20tsep80bs256lr0.01af2,20,80,256,0.01,2,56,3712,twenty
s20tsep80bs256lr0.01af3,20,80,256,0.01,3,0,4743,twenty
s3tsep10bs128lr0.0001af1,3,10,128,0.0001,1,56,3802,three
s3tsep10bs128lr0.0001af2,3,10,128,0.0001,2,56,3814,three
s3tsep10bs128lr0.0001af3,3,10,128,0.0001,3,56,3733,three
s3tsep10bs128lr0.001af1,3,10,128,0.001,1,56,3922,three
s3tsep10bs128lr0.001af2,3,10,128,0.001,2,56,3668,three
s3tsep10bs128lr0.001af3,3,10,128,0.001,3,0,4729,three
s3tsep10bs128lr0.01af1,3,10,128,0.01,1,0,4726,three
s3tsep10bs128lr0.01af2,3,10,128,0.01,2,0,4728,three
s3tsep10bs128lr0.01af3,3,10,128,0.01,3,0,4726,three
s3tsep10bs256lr0.0001af1,3,10,256,0.0001,1,56,3856,three
s3tsep10bs256lr0.0001af2,3,10,256,0.0001,2,53,3988,three
s3tsep10bs256lr0.0001af3,3,10,256,0.0001,3,56,3781,three
s3tsep10bs256lr0.001af1,3,10,256,0.001,1,56,3738,three
